date,symbol,timeframe,P1_bars,P2_bars,P3_bars,P4_bars,P5_bars,P6_bars,LFP,P1_vol,P2_vol,P3_vol,LFP_vol,source_csv
2h,BTC,USDT,349.0,87.25,174.5,58.16666666666666,116.33333333333331,49.85714285714286,0.7282306616277741,,,,,outputs/fourier/monthly/2025/06/FREQ_BTC_USDT_2h_2025-06.csv
2h,BTC,USDT,361.0,120.33333333333331,180.5,72.2,51.57142857142858,25.78571428571429,0.911399342331376,,,,,outputs/fourier/monthly/2025/05/FREQ_BTC_USDT_2h_2025-05.csv
2h,BTC,USDT,349.0,116.33333333333331,69.8,23.26666666666667,19.38888888888889,26.846153846153843,0.9302557905488952,,,,,outputs/fourier/monthly/2025/04/FREQ_BTC_USDT_2h_2025-04.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,90.25,72.2,51.57142857142858,0.8192644170092072,,,,,outputs/fourier/monthly/2025/03/FREQ_BTC_USDT_2h_2025-03.csv
2h,BTC,USDT,325.0,65.0,81.25,54.16666666666667,108.33333333333334,20.3125,0.7210700075881707,,,,,outputs/fourier/monthly/2025/02/FREQ_BTC_USDT_2h_2025-02.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,72.2,45.125,18.05,0.9195062992256616,,,,,outputs/fourier/monthly/2025/01/FREQ_BTC_USDT_2h_2025-01.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,90.25,51.57142857142858,60.16666666666666,0.9178241086609222,,,,,outputs/fourier/monthly/2024/12/FREQ_BTC_USDT_2h_2024-12.csv
2h,BTC,USDT,349.0,116.33333333333331,174.5,87.25,58.16666666666666,23.26666666666667,0.964951228524293,,,,,outputs/fourier/monthly/2024/11/FREQ_BTC_USDT_2h_2024-11.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,51.57142857142858,90.25,40.11111111111111,0.9478849932286764,,,,,outputs/fourier/monthly/2024/10/FREQ_BTC_USDT_2h_2024-10.csv
2h,BTC,USDT,349.0,116.33333333333331,174.5,87.25,58.16666666666666,69.8,0.9130091579382266,,,,,outputs/fourier/monthly/2024/09/FREQ_BTC_USDT_2h_2024-09.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,90.25,45.125,60.16666666666666,0.7058478445068879,,,,,outputs/fourier/monthly/2024/08/FREQ_BTC_USDT_2h_2024-08.csv
2h,BTC,USDT,361.0,180.5,72.2,60.16666666666666,120.33333333333331,90.25,0.971645631373312,,,,,outputs/fourier/monthly/2024/07/FREQ_BTC_USDT_2h_2024-07.csv
2h,BTC,USDT,349.0,174.5,38.77777777777778,116.33333333333331,43.625,31.727272727272727,0.8914460983718635,,,,,outputs/fourier/monthly/2024/06/FREQ_BTC_USDT_2h_2024-06.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,60.16666666666666,51.57142857142858,32.81818181818182,0.9130661299581688,,,,,outputs/fourier/monthly/2024/05/FREQ_BTC_USDT_2h_2024-05.csv
2h,BTC,USDT,174.5,349.0,116.33333333333331,43.625,49.85714285714286,24.92857142857143,0.8605645787693132,,,,,outputs/fourier/monthly/2024/04/FREQ_BTC_USDT_2h_2024-04.csv
2h,BTC,USDT,180.5,361.0,120.33333333333331,51.57142857142858,27.769230769230766,45.125,0.8229798407184247,,,,,outputs/fourier/monthly/2024/03/FREQ_BTC_USDT_2h_2024-03.csv
2h,BTC,USDT,337.0,168.5,67.39999999999999,56.16666666666666,84.25,22.466666666666665,0.9634125003393555,,,,,outputs/fourier/monthly/2024/02/FREQ_BTC_USDT_2h_2024-02.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,90.25,72.2,60.16666666666666,0.9183528013209872,,,,,outputs/fourier/monthly/2024/01/FREQ_BTC_USDT_2h_2024-01.csv
2h,BTC,USDT,180.5,72.2,90.25,60.16666666666666,51.57142857142858,120.33333333333331,0.760478041585956,,,,,outputs/fourier/monthly/2023/12/FREQ_BTC_USDT_2h_2023-12.csv
2h,BTC,USDT,349.0,116.33333333333331,174.5,87.25,43.625,29.08333333333333,0.5586617079771939,,,,,outputs/fourier/monthly/2023/11/FREQ_BTC_USDT_2h_2023-11.csv
2h,BTC,USDT,361.0,180.5,90.25,45.125,120.33333333333331,51.57142857142858,0.9776875181019856,,,,,outputs/fourier/monthly/2023/10/FREQ_BTC_USDT_2h_2023-10.csv
2h,BTC,USDT,116.33333333333331,174.5,349.0,49.85714285714286,69.8,87.25,0.8201743173213486,,,,,outputs/fourier/monthly/2021/09/FREQ_BTC_USDT_2h_2021-09.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,90.25,40.11111111111111,72.2,0.9246367573386252,,,,,outputs/fourier/monthly/2025/07/FREQ_BTC_USDT_2h_2025-07.csv
2h,BTC,USDT,359.0,119.66666666666666,89.75,71.8,39.88888888888889,179.5,0.859315543286129,,,,,outputs/fourier/monthly/2021/08/FREQ_BTC_USDT_2h_2021-08.csv
2h,BTC,USDT,174.5,349.0,116.33333333333331,58.16666666666666,49.85714285714286,87.25,0.8439648897065188,,,,,outputs/fourier/monthly/2021/06/FREQ_BTC_USDT_2h_2021-06.csv
2h,BTC,USDT,349.0,174.5,87.25,116.33333333333331,38.77777777777778,58.16666666666666,0.7813956275615653,,,,,outputs/fourier/monthly/2019/04/FREQ_BTC_USDT_2h_2019-04.csv
2h,BTC,USDT,358.0,179.0,119.33333333333331,89.5,71.6,51.142857142857146,0.8713399713165385,,,,,outputs/fourier/monthly/2019/03/FREQ_BTC_USDT_2h_2019-03.csv
2h,BTC,USDT,325.0,108.33333333333334,162.5,54.16666666666667,65.0,40.625,0.9164571834107622,,,,,outputs/fourier/monthly/2019/02/FREQ_BTC_USDT_2h_2019-02.csv
2h,BTC,USDT,361.0,120.33333333333331,180.5,90.25,72.2,60.16666666666666,0.8513185024524619,,,,,outputs/fourier/monthly/2019/01/FREQ_BTC_USDT_2h_2019-01.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,90.25,45.125,60.16666666666666,0.9582467459383684,,,,,outputs/fourier/monthly/2018/12/FREQ_BTC_USDT_2h_2018-12.csv
2h,BTC,USDT,346.0,173.0,57.66666666666667,69.2,49.42857142857143,86.5,0.9606148574552132,,,,,outputs/fourier/monthly/2018/11/FREQ_BTC_USDT_2h_2018-11.csv
2h,BTC,USDT,120.0,90.0,180.0,72.0,360.0,60.0,0.7848894578660965,,,,,outputs/fourier/monthly/2018/10/FREQ_BTC_USDT_2h_2018-10.csv
2h,BTC,USDT,349.0,116.33333333333331,87.25,69.8,174.5,34.9,0.9444342333099466,,,,,outputs/fourier/monthly/2018/09/FREQ_BTC_USDT_2h_2018-09.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,36.1,30.08333333333333,60.16666666666666,0.9206738431741388,,,,,outputs/fourier/monthly/2018/08/FREQ_BTC_USDT_2h_2018-08.csv
2h,BTC,USDT,357.0,178.5,119.0,89.25,71.39999999999999,59.5,0.8917363084123782,,,,,outputs/fourier/monthly/2019/05/FREQ_BTC_USDT_2h_2019-05.csv
2h,BTC,USDT,358.0,179.0,119.33333333333331,89.5,71.6,59.66666666666666,0.9706570993098652,,,,,outputs/fourier/monthly/2018/07/FREQ_BTC_USDT_2h_2018-07.csv
2h,BTC,USDT,361.0,72.2,60.16666666666666,180.5,90.25,120.33333333333331,0.9098876356697536,,,,,outputs/fourier/monthly/2018/05/FREQ_BTC_USDT_2h_2018-05.csv
2h,BTC,USDT,349.0,116.33333333333331,174.5,87.25,69.8,49.85714285714286,0.9455321171127608,,,,,outputs/fourier/monthly/2018/04/FREQ_BTC_USDT_2h_2018-04.csv
2h,BTC,USDT,361.0,180.5,90.25,120.33333333333331,51.57142857142858,45.125,0.8852234779155952,,,,,outputs/fourier/monthly/2018/03/FREQ_BTC_USDT_2h_2018-03.csv
2h,BTC,USDT,309.0,154.5,103.0,61.79999999999999,44.14285714285714,34.333333333333336,0.9421649051647164,,,,,outputs/fourier/monthly/2018/02/FREQ_BTC_USDT_2h_2018-02.csv
2h,BTC,USDT,361.0,180.5,90.25,72.2,60.16666666666666,30.08333333333333,0.8945037257557975,,,,,outputs/fourier/monthly/2018/01/FREQ_BTC_USDT_2h_2018-01.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,90.25,60.16666666666666,51.57142857142858,0.9510178675382904,,,,,outputs/fourier/monthly/2017/12/FREQ_BTC_USDT_2h_2017-12.csv
2h,BTC,USDT,349.0,174.5,116.33333333333331,87.25,69.8,43.625,0.9723710479433252,,,,,outputs/fourier/monthly/2017/11/FREQ_BTC_USDT_2h_2017-11.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,90.25,72.2,45.125,0.9400372809751372,,,,,outputs/fourier/monthly/2017/10/FREQ_BTC_USDT_2h_2017-10.csv
2h,BTC,USDT,347.0,173.5,115.66666666666669,86.75,69.4,57.83333333333334,0.8300155443829759,,,,,outputs/fourier/monthly/2017/09/FREQ_BTC_USDT_2h_2017-09.csv
2h,BTC,USDT,344.0,172.0,114.66666666666669,68.8,28.666666666666668,38.22222222222223,0.9200407203473824,,,,,outputs/fourier/monthly/2018/06/FREQ_BTC_USDT_2h_2018-06.csv
2h,BTC,USDT,349.0,174.5,116.33333333333331,87.25,58.16666666666666,69.8,0.9823577843425444,,,,,outputs/fourier/monthly/2019/06/FREQ_BTC_USDT_2h_2019-06.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,36.1,60.16666666666666,72.2,0.8678055725856428,,,,,outputs/fourier/monthly/2019/07/FREQ_BTC_USDT_2h_2019-07.csv
2h,BTC,USDT,357.0,178.5,119.0,89.25,71.39999999999999,39.66666666666666,0.9038059658828308,,,,,outputs/fourier/monthly/2019/08/FREQ_BTC_USDT_2h_2019-08.csv
2h,BTC,USDT,361.0,180.5,25.78571428571429,36.1,60.16666666666666,40.11111111111111,0.9539923389966278,,,,,outputs/fourier/monthly/2021/05/FREQ_BTC_USDT_2h_2021-05.csv
2h,BTC,USDT,347.0,173.5,115.66666666666669,69.4,86.75,43.375,0.931843873442732,,,,,outputs/fourier/monthly/2021/04/FREQ_BTC_USDT_2h_2021-04.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,90.25,60.16666666666666,72.2,0.8972673853843843,,,,,outputs/fourier/monthly/2021/03/FREQ_BTC_USDT_2h_2021-03.csv
2h,BTC,USDT,325.0,108.33333333333334,162.5,46.42857142857143,32.5,65.0,0.9435956204683,,,,,outputs/fourier/monthly/2021/02/FREQ_BTC_USDT_2h_2021-02.csv
2h,BTC,USDT,361.0,120.33333333333331,60.16666666666666,72.2,90.25,51.57142857142858,0.8677794178456311,,,,,outputs/fourier/monthly/2021/01/FREQ_BTC_USDT_2h_2021-01.csv
2h,BTC,USDT,359.0,179.5,119.66666666666666,89.75,59.83333333333333,71.8,0.96582963495839,,,,,outputs/fourier/monthly/2020/12/FREQ_BTC_USDT_2h_2020-12.csv
2h,BTC,USDT,349.0,174.5,69.8,116.33333333333331,43.625,87.25,0.955351160850545,,,,,outputs/fourier/monthly/2020/11/FREQ_BTC_USDT_2h_2020-11.csv
2h,BTC,USDT,361.0,120.33333333333331,180.5,72.2,90.25,60.16666666666666,0.9785035833001792,,,,,outputs/fourier/monthly/2020/10/FREQ_BTC_USDT_2h_2020-10.csv
2h,BTC,USDT,174.5,349.0,116.33333333333331,87.25,58.16666666666666,49.85714285714286,0.8896371619829061,,,,,outputs/fourier/monthly/2020/09/FREQ_BTC_USDT_2h_2020-09.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,90.25,45.125,40.11111111111111,0.752123292897919,,,,,outputs/fourier/monthly/2020/08/FREQ_BTC_USDT_2h_2020-08.csv
2h,BTC,USDT,361.0,180.5,60.16666666666666,25.78571428571429,120.33333333333331,90.25,0.9838160609835516,,,,,outputs/fourier/monthly/2020/07/FREQ_BTC_USDT_2h_2020-07.csv
2h,BTC,USDT,348.0,174.0,87.0,69.6,38.66666666666666,34.8,0.6640605256824715,,,,,outputs/fourier/monthly/2020/06/FREQ_BTC_USDT_2h_2020-06.csv
2h,BTC,USDT,180.5,120.33333333333331,361.0,72.2,60.16666666666666,90.25,0.8671728808224757,,,,,outputs/fourier/monthly/2020/05/FREQ_BTC_USDT_2h_2020-05.csv
2h,BTC,USDT,348.0,116.0,174.0,87.0,69.6,58.0,0.8186263967701648,,,,,outputs/fourier/monthly/2020/04/FREQ_BTC_USDT_2h_2020-04.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,51.57142857142858,60.16666666666666,90.25,0.9416536502178606,,,,,outputs/fourier/monthly/2020/03/FREQ_BTC_USDT_2h_2020-03.csv
2h,BTC,USDT,335.0,167.5,111.66666666666666,67.0,37.22222222222222,83.75,0.8959570991636332,,,,,outputs/fourier/monthly/2020/02/FREQ_BTC_USDT_2h_2020-02.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,40.11111111111111,45.125,90.25,0.9122935564120714,,,,,outputs/fourier/monthly/2020/01/FREQ_BTC_USDT_2h_2020-01.csv
2h,BTC,USDT,361.0,180.5,90.25,120.33333333333331,40.11111111111111,72.2,0.8156782114477081,,,,,outputs/fourier/monthly/2019/12/FREQ_BTC_USDT_2h_2019-12.csv
2h,BTC,USDT,347.0,173.5,115.66666666666669,86.75,38.55555555555556,43.375,0.9565866529096878,,,,,outputs/fourier/monthly/2019/11/FREQ_BTC_USDT_2h_2019-11.csv
2h,BTC,USDT,361.0,180.5,72.2,90.25,51.57142857142858,60.16666666666666,0.8697613208599972,,,,,outputs/fourier/monthly/2019/10/FREQ_BTC_USDT_2h_2019-10.csv
2h,BTC,USDT,349.0,87.25,174.5,58.16666666666666,31.727272727272727,43.625,0.9606819611653964,,,,,outputs/fourier/monthly/2019/09/FREQ_BTC_USDT_2h_2019-09.csv
2h,BTC,USDT,361.0,180.5,120.33333333333331,45.125,72.2,60.16666666666666,0.9589371924710196,,,,,outputs/fourier/monthly/2021/07/FREQ_BTC_USDT_2h_2021-07.csv
2h,BTC,USDT,306.0,153.0,38.25,34.0,102.0,43.71428571428571,0.8875807795681614,,,,,outputs/fourier/monthly/2025/08/FREQ_BTC_USDT_2h_2025-08.csv
